2025-12-02 17:29:06 | INFO     | psx_ai_advisor.data_storage | load_stock_data     :337  | Loaded 1293 records for AGIL_HISTORICAL_DATA from data\AGIL_HISTORICAL_DATA.csv
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :382  | Calculating comprehensive technical indicators...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.data_storage | load_stock_data     :337  | Loaded 1289 records for ABL_HISTORICAL_DATA from data\ABL_HISTORICAL_DATA.csv
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :385  | Calculating RSI...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :382  | Calculating comprehensive technical indicators...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :385  | Calculating RSI...
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_rsi       :109  | Calculated RSI_14 for 1293 data points
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :388  | Calculating MACD...
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_rsi       :109  | Calculated RSI_14 for 1289 data points
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :388  | Calculating MACD...
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_macd      :162  | Calculated MACD(12,26,9) for 1293 data points
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_macd      :162  | Calculated MACD(12,26,9) for 1289 data points
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :394  | Calculating Price Rate of Change...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :394  | Calculating Price Rate of Change...
